id,word,meaning,section,page
53,matter,事柄；問題；〔～s〕事態；〔the ～〕困難；物質,1,30
54,view,(～についての)見解(on / about)；(～に対する)(特定の)見方(of)；眺め,1,30
55,value,価値；価格；評価；〔～s〕価値観,1,30
56,species,(生物の)種；種類,1,31
57,thought,考え；思考,1,31
58,knowledge,知識；知っていること；認識,1,31
59,memory,記憶(力)；(～の)思い出(of),1,31
60,practice,実践，実行；(社会の)慣習；練習,1,31
61,benefit,利益，恩恵；給付金,1,32
62,theory,学説；理論；原理；推測,1,32
63,issue,問題(点)；発行(物)；発表,1,32
64,experiment,(～を対象とする)実験(on),1,32
65,article,記事；条項；品物,1,32
66,focus,焦点；関心の的,1,33
67,subject,話題；科目；主題；被験者,1,33
68,project,計画；事業；研究計画,1,33
69,quality,質；特質,1,33
70,role,役割；(俳優などの)役,1,33
71,term,(専門)用語；〔～s〕条件；〔～s〕間柄；学期,1,34
72,statement,声明；主張；明細書,1,34
73,material,材料，素材；資料；生地,1,34
74,evidence,証拠,1,34
75,source,(～の)源，根源(of)；出所，情報源,1,34
76,community,(共同)社会，～界；地域社会；地域住民,1,35
77,technology,科学技術；応用技術,1,35
78,culture,文化；教養；耕作；養殖；培養,1,35
79,appropriate,(～に)適切な(for / to),1,35
80,likely,ありそうな,1,35
81,possible,可能な；可能性のある,1,36
82,individual,個々の；個人の,1,36
83,public,公の；公衆の；公開の,1,36
84,common,共通の；普通の；一般の,1,36
85,certain,確信して；確かな；ある；一定の,1,36
86,similar,似ている，類似した；同様の,1,37
87,recent,最近の,1,37
88,major,主要な；大きい(ほうの)；長調の,1,37
89,patient,忍耐強い；勤勉な,1,37
90,particular,特定の；特別の；(～について)やかましい(about),1,37
91,physical,身体の；物質的な；物理学の,1,38
92,various,さまざまな；いくつかの,1,38
93,available,手に入る；利用できる；手が空いている,1,38
94,native,出生地の；原産の；生得の,1,38
95,political,政治(上)の,1,38
96,due,予定された；(支払)期日で；しかるべき,1,39
97,blank,空白の；無表情な；がらんとした,1,39
98,ancient,古代の；昔からの,1,39
99,correct,正しい；適切な,1,39
100,despite,～にもかかわらず,1,39
101,notice,に気づく,1,40
102,refer,言及する，関連する；参照する,1,40
103,approach,に近づく；に取り組む,1,40
104,wonder,かなと思う；(に)驚く(at),1,40
105,imagine,(を)想像する；(を)推測する,1,40
106,recognize,を識別できる；を認める,1,41
107,solve,を解く，解明する；(困難など)を解決する,1,41
108,occur,起こる；心に浮かぶ；現れる,1,41
109,argue,と主張する；議論する,1,41
110,claim,と主張する；を(自分のものとして)要求する,1,41
111,express,を表す，述べる,1,42
112,draw,を引き出す；を引く；を描く；近づく,1,42
113,waste,を浪費する，無駄にする,1,42
114,advance,を進歩させる；を進める；進歩する；進む,1,42
115,spread,を広める；広がる,1,42
116,prepare,を準備する；を調理する；(～のために)準備をする(for),1,43
117,gain,を獲得する；(を)増す,1,43
118,achieve,を達成する；を成し遂げる,1,43
119,establish,を確立する；を設立する,1,43
120,supply,を供給する,1,43
121,suppose,と思う；と仮定する,1,44
122,perform,(を)行う；(を)演じる，(を)演奏する,1,44
123,prefer,のほうを好む,1,44
124,determine,を決定する；を正確に知る,1,44
125,treat,を扱う；を治療する,1,44
126,prove,を証明する；判明する，わかる,1,45
127,apply,を適用［応用］する；申し込む；(～に)適用される(to / in),1,45
128,mention,に言及する；と言う,1,45
129,communicate,(～と)情報交換をする(with)；を伝達する,1,45
130,contain,を含む；を収容する；(感情など)を抑える,1,45
131,contact,と連絡を取る；接触する,1,46
132,regard,を見なす；を見る；を評価する,1,46
133,respect,を尊敬する；を尊重する,1,46
134,search,捜す；を捜索する；を詳しく調べる,1,46
135,connect,をつなぐ；を関連づける,1,46
136,decline,減少する；衰退する；を断る,1,47
137,prevent,を妨げる；を防ぐ,1,47
138,suffer,苦しむ；患う；(苦痛など)を経験する,1,47
139,survive,を切り抜けて生き残る；より長生きする；生き延びる,1,47
140,publish,を出版する；を公表する,1,47
141,opportunity,機会,1,48
142,task,(課せられた)仕事，作業；課題；タスク,1,48
143,industry,産業；勤勉,1,48
144,medium,(情報伝達の)媒体；手段,1,48
145,economy,経済(状態)；経済圏；節約,1,48
146,policy,政策，方針；(個人の)主義,1,49
147,account,説明；勘定；口座,1,49
148,trade,貿易；商売，取引,1,49
149,model,模範；モデル；模型；型,1,49
150,figure,数字；姿；人物；図表,1,49
151,cell,細胞；独房；電池,1,50
152,image,印象，イメージ；画像；像,1,50
153,emotion,感情，情動；感動,1,50
154,stress,ストレス；圧力；強調,1,50
155,decade,10年間,1,50
156,range,範囲；射程距離；(同類の)組,1,51
157,character,性格，個性；特徴；登場人物；文字,1,51
158,advantage,利点；優勢；有利,1,51
159,phrase,句；成句；言葉遣い,1,51
160,damage,損害，損傷；〔～s〕損害賠償金,1,51
161,impact,影響；(激しい)衝突；衝撃(力),1,52
162,method,方法；体系；秩序,1,52
163,resource,〔通例～s〕資源；〔通例～s〕資金；才覚,1,52
164,region,地域；領域；部位,1,52
165,medicine,薬；医学,1,52
166,detail,〔～s〕詳細(な情報)，細部,1,53
167,feature,特徴；〔通例～s〕顔つき；特集記事［番組］,1,53
168,function,機能；関数,1,53
169,access,利用，入手；接近(の機会・方法・権利),1,53
170,item,品目，項目；(同種の中の)～個；(短い)記事,1,53
171,income,収入；所得,1,54
172,attitude,態度；考え方，心構え,1,54
173,site,用地，場所；跡地；(ウェブ)サイト,1,54
174,aspect,(物事の)側面；観点；様相,1,54
175,structure,構造；体系；構造物,1,54
176,habit,習慣，癖,1,55
177,link,関連，つながり；(2地点を結ぶ)交通手段；リンク,1,55
178,instance,(具体的な)例，実例；(特定の)場合,1,55
179,positive,肯定的な；積極的な；確信して；(検査結果が)陽性の,1,55
180,negative,否定的な；消極的な；(検査結果が)陰性の,1,55
181,complex,複雑な；複合(体)の,1,56
182,current,現在の；現代の；通用している,1,56
183,mental,精神の；知能の；頭の中で行う,1,56
184,specific,特定の；明確な，具体的な；(～に)特有の(to),1,56
185,significant,重要な，重大な；意義深い,1,56
186,essential,(～に)必要不可欠な(to / for)；本質的な,1,57
187,official,公用の；公式の；役所の,1,57
188,financial,財政(上)の；財界の,1,57
189,academic,学問の；大学の,1,57
190,aware,気づいて，知って,1,57
191,worth,(…する)に値する(doing)；の価値がある,1,58
192,potential,潜在的な；可能性を秘めた,1,58
193,active,積極的な；活動的な；効力のある,1,58
194,digital,デジタル方式の；デジタル［数字］表示の,1,58
195,mobile,可動［移動］式の；流動性のある,1,58
196,novel,斬新な，目新しい,1,59
197,plastic,柔軟な；プラスチックの，ビニールの,1,59
198,chemical,化学の，化学的な,1,59
199,necessary,必要な,1,59
200,eventually,結局(は),1,59
201,identify,を特定する；を(～と)同一視する(with),1,60
202,represent,を表す；を代表する；に相当する,1,60
203,indicate,を指し示す；を述べる,1,60
204,manage,をなんとか成し遂げる；を管理する,1,60
205,attend,に出席する；(を)世話する；(～に)対処［対応］する(to),1,60
206,maintain,を維持する；と主張する；を養う,1,61
207,survey,を調査する；をじろじろ見る；を概観する,1,61
208,replace,に取って代わる；を取り替える,1,61
209,sort,を(～に)分類する(into)；を(～から)えり分ける(from),1,61
210,conduct,(調査・実験など)を実施する；を導く,1,61
211,associate,を結び付けて考える；(～と)交際する(with),1,62
212,attempt,を試みる，企てる,1,62
213,promote,を促進する；〔通例受身形で〕昇進する,1,62
214,earn,を稼ぐ；を得る；をもたらす,1,62
215,unite,を団結させる；(を)結合する；団結する,1,62
216,feed,に食べ物［乳］を与える；に(～を)供給［補給］する(with)；餌を食べる,1,63
217,seek,を追い求める；(助けなど)を要請する,1,63
218,observe,に気づく；を観察する；を遵守する,1,63
219,reveal,を明らかにする；を見せる,1,63
220,estimate,と推定する；を見積もる；を評価する,1,63
221,reflect,を反映する；(を)反射する；(を)熟考する,1,64
222,attract,を引きつける,1,64
223,decrease,減少する；を減らす,1,64
224,ignore,を無視する,1,64
225,match,(と)合う；に匹敵する；一致する,1,64
226,define,を定義する；を明確にする,1,65
227,adapt,適応する；を(～に)適合させる(to),1,65
228,contribute,貢献する，一因となる；(を)寄付する；(を)寄稿する,1,65
229,exchange,(を)交換する；両替する,1,65
230,display,を示す；を発揮する；を展示［陳列］する,1,65
231,respond,反応する；答える,1,66
232,hide,を隠す；隠れる,1,66
233,doubt,ではないと思う；を疑う,1,66
234,remove,を取り除く；を解雇する,1,66
235,wind,(ねじなど)を巻く；(道などが)曲がりくねる；巻きつく,1,66
236,assume,を当然のことと思う，と仮定する；(権力など)を手に入れる；(責任など)を引き受ける,1,67
237,relax,くつろぐ；緩む；をくつろがせる；を緩める,1,67
238,satisfy,を満足させる；(条件など)を満たす,1,67
239,desire,を強く望む,1,67
240,succeed,(～に)成功する(in)；(～を)継承する(to),1,67
241,concept,概念；考え；(商品・販売の)コンセプト,1,68
242,fashion,流行，ファッション；方法，流儀,1,68
243,device,装置，機器；方策；デバイス,1,68
244,charge,料金；世話；管理；告発,1,68
245,contrast,(～との)対照(with / to),1,68
246,colleague,(職場の)同僚,1,69
247,pain,苦痛，痛み；苦悩；〔～s〕骨折り,1,69
248,bill,請求書；【英】勘定書；法案,1,69
249,content,内容，中身；コンテンツ,1,69
250,section,部門；部分；地区；欄,1,69
251,audience,〔集合的に〕聴衆，観客；視聴者,1,70
252,surface,表面；〔the ～〕外見,1,70
253,crop,〔しばしば～s〕作物；収穫高,1,70
254,topic,話題，トピック；主題,1,70
255,technique,技術；技巧；手法,1,70
256,status,地位；状態,1,71
257,option,選択(の自由)；選択肢,1,71
258,reward,報酬；報い,1,71
259,race,人種；民族；競争,1,71
260,crime,罪，犯罪；違法行為,1,71
261,conflict,争い；論争；不一致,1,72
262,struggle,闘い；懸命の努力,1,72
263,context,状況，背景；文脈,1,72
264,debate,討論，論争；討論会,1,72
265,fuel,燃料；勢いを増加させるもの,1,72
266,pollution,汚染，公害,1,73
267,trend,(～への)傾向(toward)；流行,1,73
268,balance,均衡，バランス；(体の)平衡；残高,1,73
269,traffic,交通；通行；交通［輸送］量；(不正)取引,1,73
270,strategy,戦略,1,73
271,basis,基礎；根拠；基準,1,74
272,consequence,〔通例～s〕結果；重大性,1,74
273,aim,目的，目標；狙い,1,74
274,ancestor,祖先；原型,1,74
275,gene,遺伝子,1,74
276,track,跡；軌道；【米】(鉄道の)番線；走路,1,75
277,revolution,革命；回転；(天体の)公転,1,75
278,progress,進歩；前進,1,75
279,cognitive,認知の,1,75
280,ideal,理想的な；観念的な,1,75
281,efficient,効率的な；有能な,1,76
282,universal,普遍的な；宇宙の；万能の,1,76
283,vast,莫大な；広大な,1,76
284,extra,追加の，余分の；別勘定の,1,76
285,entire,全体の，全部の；完全な,1,76
286,familiar,精通している；よく知られている,1,77
287,obvious,明らかな,1,77
288,moral,道徳(上)の，倫理的な；道徳的な,1,77
289,ordinary,一般の，普通の；並の,1,77
290,equal,(～に)等しい(to)；匹敵する；平等な,1,77
291,previous,以前の，前の,1,78
292,false,間違った；虚偽の；偽の,1,78
293,rare,まれな，珍しい；希少な,1,78
294,legal,法律の；合法の,1,78
295,independent,(～から)独立した(of / from),1,78
296,extreme,極端な；極度の，過激な,1,79
297,actual,実際の，現実の,1,79
298,willing,いとわない，かまわないと思う,1,79
299,urban,都市の；都会的な,1,79
300,whereas,～するのに(対し)，～する一方,1,79
301,predict,を予言［予測］する,2,82
302,examine,を調べる；を診察する；を尋問する,2,82
303,trust,を信頼する；を(信頼して)託す,2,82
304,stick,を動けなくする；を突き刺す；(～に)くっつく(to / on),2,82
305,emerge,現れる；明らかになる；台頭する,2,82
306,vary,さまざまである；変わる；を変える,2,83
307,release,を放出する；を解放する；を発表する,2,83
308,divide,を分ける；分かれる,2,83
309,enable,(人)が…できるようにする；を可能にする,2,83
310,judge,(を)判断する；に判決を下す,2,83
311,rely,頼る,2,84
312,engage,を従事させる；を(～として)雇う(as)；(～に)従事する(in / with),2,84
313,shift,を変える，移す；変わる；移動する,2,84
314,adopt,を採用する；(態度など)をとる；を養子にする,2,84
315,acquire,を得る；を習得する,2,84
316,expand,(を)拡大する；(を)詳説する,2,85
317,refuse,を拒む；を断る；拒絶する,2,85
318,strike,の心を打つ；を襲う；を打つ；(に)ぶつかる,2,85
319,repeat,(を)繰り返す；を復唱する,2,85
320,consume,を消費する；を食べる，飲む,2,85
321,confuse,を混同する；を当惑させる,2,86
322,select,を選ぶ，えり抜く,2,86
323,evolve,(徐々に)発展する；進化する,2,86
324,convince,を納得［確信］させる,2,86
325,recall,を思い出す；を呼び戻す,2,86
326,destroy,を破壊する；(人)を破滅させる,2,87
327,preserve,を保存する；を保持する；を保護する,2,87
328,organize,を準備する；を組織する,2,87
329,warn,(人)に(～を)警告［注意］する(of / against),2,87
330,address,(問題など)に対処する；に演説する；(手紙など)を(～宛てに)出す(to),2,87
331,operate,を操作する；機能する；手術する,2,88
332,participate,参加する,2,88
333,surround,を取り巻く；にまつわる,2,88
334,flow,流れる；(～から)生じる(from),2,88
335,bore,(人)を退屈させる，うんざりさせる,2,88
336,complain,(と)不平［苦情］を言う；訴える,2,89
337,host,を主催する；のホスト役を務める,2,89
338,combine,を(～と)結び付ける(with)；(～と)結び付く(with),2,89
339,extend,を伸［延］ばす；伸びる；及ぶ,2,89
340,appreciate,を正当に評価する；を鑑賞する；を感謝する,2,89
341,target,(到達・攻撃)目標；的,2,90
342,element,要素，成分；元素；〔an / ofで〕少しの,2,90
343,principle,原則，原理；主義，信条,2,90
344,phenomenon,現象,2,90
345,atmosphere,〔the ～〕大気；雰囲気,2,90
346,origin,起源；源,2,91
347,personality,個性，性格,2,91
348,capacity,(最大)容量，収容能力；(潜在)能力,2,91
349,profit,利益；収益(率)；得,2,91
350,circumstance,〔通例～s〕状況，事情；境遇,2,91
351,manner,〔～s〕作法；方法；物腰,2,92
352,threat,脅威；(悪い)兆し；脅迫,2,92
353,resident,居住者；滞在者,2,92
354,wealth,富；資源；富裕,2,92
355,institution,機関；協会；施設；制度,2,92
356,authority,〔通例 the ～s〕(関係)当局；権威；権限,2,93
357,vote,投票；投票結果；〔the ～〕選挙権,2,93
358,sight,光景；〔the ～s〕名所；見(え)ること；視野；視力,2,93
359,campaign,運動；軍事行動,2,93
360,fund,〔しばしば～s〕基金，資金,2,93
361,web,〔the W-〕ウェブ；(クモの)巣,2,94
362,symbol,象徴，シンボル；記号；標章,2,94
363,analysis,分析(結果),2,94
364,version,(本・製品などの)版；解釈,2,94
365,perspective,観点，見方；大局観；遠近法,2,94
366,crisis,危機,2,95
367,disaster,災害；惨事,2,95
368,lecture,講義，講演；説教,2,95
369,psychology,心理学；心理(状態),2,95
370,gender,(社会的・文化的)性，性別,2,95
371,custom,(社会的な)慣習；〔～s〕税関；〔～s〕関税,2,96
372,court,裁判所，法廷；裁判；宮廷；中庭,2,96
373,desert,砂漠；不毛の地,2,96
374,soil,土地，土壌；(悪事などの)温床,2,96
375,agriculture,農業；農学，畜産,2,96
376,fossil,化石；時代遅れの人［物］,2,97
377,document,(公)文書，書類；記録，資料,2,97
378,vocabulary,語彙,2,97
379,intelligent,聡明な；知能を有する,2,97
380,conscious,意識して，気づいて,2,97
381,capable,能力がある；有能な,2,98
382,accurate,正確な；精密な,2,98
383,fundamental,基本的な；必須の,2,98
384,artificial,人工の；不自然な,2,98
385,firm,確固たる；堅固な；安定した,2,98
386,overall,総合的な；全体的な,2,99
387,rural,田舎の，田園の,2,99
388,military,軍の，軍事(用)の,2,99
389,nuclear,核の，原子力の,2,99
390,biological,生物学(上)の,2,99
391,constant,絶え間ない；一定の,2,100
392,severe,(人・規律・事態・天気などが)厳しい；猛烈な,2,100
393,visual,視覚の；目に見える,2,100
394,enormous,莫大な，巨大な,2,100
395,convenient,便利な，都合のいい,2,100
396,domestic,家庭の；国内の；(動物が)飼いならされた,2,101
397,mass,大規模な，大量の；大衆(向け)の,2,101
398,typical,典型的な；(～に)特有の(of),2,101
399,overseas,海外へ［に，で］,2,101
400,nevertheless,それにもかかわらず,2,101
401,demonstrate,を論証［証明］する；デモをする,2,102
402,behave,振る舞う；作動する,2,102
403,educate,を教育する；に教える；(能力など)を養う,2,102
404,purchase,を購入する,2,102
405,recommend,を勧める,2,102
406,admit,(を)(しぶしぶ)認める；に(～への)入場［入学など］を認める(to / into),2,103
407,generate,を生み出す；(電気など)を発生させる,2,103
408,explore,(を)調査［探究］する；(を)探検［探査］する,2,103
409,amaze,をびっくりさせる,2,103
410,tear,を引き裂く；裂ける,2,103
411,settle,を解決する；(に)移り住む；を落ち着かせる,2,104
412,afford,を持つ［する］余裕がある；を与える,2,104
413,conclude,と結論づける；を締めくくる；を締結する,2,104
414,advertise,を宣伝する；(～を求める)広告を出す(for),2,104
415,encounter,に遭遇する；に(思いがけず)出会う,2,104
416,remind,に思い出させる,2,105
417,locate,〔受身形で〕位置する；の位置を探し当てる,2,105
418,aid,を援助する，助ける,2,105
419,bite,(を)かむ，(に)かみつく；(を)刺す,2,105
420,deliver,を配達する；(演説・講義)をする；子を産む,2,105
421,perceive,に気づく；を知覚する；を理解する,2,106
422,distinguish,を区別する,2,106
423,imply,を暗に意味する；を必然的に伴う,2,106
424,handle,を処理する，扱う；を論じる；を商う,2,106
425,praise,を(～のことで)賞賛する(for)；賛美する,2,106
426,appeal,訴える；抗議する；(上級審に)上訴する,2,107
427,insist,(を)強く主張する；要求する,2,107
428,compete,競う；〔通例否定文で〕(～に)匹敵する(with),2,107
429,rank,を位置づける，評価する；(ある地位に)位置する,2,107
430,deny,を否定する；を拒む,2,107
431,reject,を拒否する,2,108
432,intend,を意図する,2,108
433,expose,をさらす；を暴露する；を露出する,2,108
434,favor,に賛成する；を好む；をひいきする,2,108
435,inspire,(人)を奮起させる；を喚起する,2,108
436,propose,を提案する；をもくろむ；結婚を申し込む,2,109
437,spell,(語)をつづる；という語になる,2,109
438,breathe,呼吸する；を吸う,2,109
439,repair,を修理する；を修復する,2,109
440,consist,(～から)成る(of)；(～に)ある(in),2,109
441,comment,意見，コメント；批判,2,110
442,instruction,〔通例～s〕指示；〔～s〕(製品の)使用書,2,110
443,religion,宗教；信条；信仰(心),2,110
444,neighborhood,地域；近所,2,110
445,laboratory,実験室，研究室,2,110
446,presence,存在；出席；面前,2,111
447,confidence,自信；信頼；秘密,2,111
448,harm,害，損害,2,111
449,instrument,器具；楽器,2,111
450,category,部類，区分；範疇,2,111
451,capital,資本；首都；大文字,2,112
452,outcome,結果；成果,2,112
453,notion,概念，観念；見解；意向,2,112
454,review,(書物などの)論評；再調査；【米】復習,2,112
455,trait,特性,2,112
456,diversity,多様性；相違点,2,113
457,victim,犠牲(者)，被害者,2,113
458,occasion,場合，時；行事；機会,2,113
459,facility,施設，設備；機能；才能,2,113
460,stock,在庫品；蓄え；株,2,113
461,conference,会議；協議,2,114
462,humanity,人類；人間性；人情；〔(the) ～s〕人文科学,2,114
463,dialect,方言,2,114
464,proportion,割合；部分；釣り合い,2,114
465,tip,助言，秘訣；チップ；先端,2,114
466,lawyer,弁護士,2,115
467,stuff,(漠然と)物；素材；素質,2,115
468,comfort,快適さ；慰め,2,115
469,philosophy,哲学；原理；人生観,2,115
470,mammal,哺乳動物,2,115
471,quantity,量；分量,2,116
472,landscape,風景；領域；状況,2,116
473,tribe,部族；仲間,2,116
474,organ,器官，臓器；組織；(パイプ)オルガン,2,116
475,trial,試み，(品質・性能などの)試験；裁判；試用期間,2,116
476,norm,規範；標準,2,117
477,code,規範；暗号；法典,2,117
478,substance,物質；実体；趣旨,2,117
479,multiple,多様な；種々雑多な,2,117
480,numerous,非常に数の多い,2,117
481,narrow,狭い；細い；限られた,2,118
482,widespread,広範囲にわたる；広く普及した,2,118
483,sufficient,(～に；…するのに)十分な(for；to do),2,118
484,proper,適切な；正式の；〔名詞の後ろで〕主要な；(～に)固有の(to),2,118
485,linguistic,言語の，言語学の,2,118
486,annual,年1回の，例年の；1年間の,2,119
487,contemporary,現代の；同時代の；同年輩の,2,119
488,contrary,(～と)反対の(to),2,119
489,strict,(規則などが)厳しい；厳格な,2,119
490,civil,市民の；民間の；民事の,2,119
491,odd,奇妙な；奇数の,2,120
492,unknown,不明の；(～に)知られていない(to)，無名の,2,120
493,superior,よりすぐれた,2,120
494,sensitive,敏感な；神経質な；微妙な,2,120
495,violent,(人・気質などが)激しい；暴力的な,2,120
496,virtual,仮想の；事実上の,2,121
497,regardless,(～に)かまわない，無頓着な(of),2,121
498,immediate,即座の；当面の；すぐそばの；直接の,2,121
499,crucial,重要な,2,121
500,somewhat,いくぶん，多少,2,121
501,interpret,を解釈する；(を)通訳する,2,122
502,translate,を翻訳する；を(～に)変える(into),2,122
503,concentrate,(を)集中する,2,122
504,request,に(…するように)頼む(to do)；を要請する,2,122
505,criticize,を批判する；を批評する,2,122
506,overcome,を克服する,2,123
507,obtain,を得る,2,123
508,inform,に知らせる；情報を提供する,2,123
509,ensure,を確実にする；を守る,2,123
510,announce,を発表［公表］する，知らせる；(物事が)を告げる,2,123
511,grant,(人)に(許可・権利など)を与える；を認める,2,124
512,freeze,凍る；を凍らせる；(計画・資金など)を凍結する,2,124
513,oppose,に反対する；を対抗［対比］させる,2,124
514,differ,異なる,2,124
515,hate,をひどく嫌う；を残念に思う,2,124
516,emphasize,を強調する；を重視する,2,125
517,employ,を雇う；を使う,2,125
518,credit,(功績など)を(～に)帰する(to)；を信じる,2,125
519,transform,を変える；変わる,2,125
520,construct,を建設する；を構成する,2,125
521,arise,生じる,2,126
522,beat,を打ち負かす；(を)打つ，たたく,2,126
523,regret,を後悔する,2,126
524,alter,を変える；変わる,2,126
525,absorb,を吸収する；を併合する；を夢中にさせる,2,126
526,disappoint,を失望させる；(希望など)をくじく,2,127
527,cure,を治す；を取り除く；(病気が)治る,2,127
528,transport,を輸送する；を運ぶ,2,127
529,rush,急いで行く；性急に行動する；をせき立てる,2,127
530,hang,を掛ける；を絞首刑にする；垂れ(下が)る,2,127
531,blame,を責める；の責任を負わせる,2,128
532,ban,を(法的に)禁止する；を締め出す,2,128
533,fascinate,を魅了する,2,128
534,recover,回復する；を取り戻す,2,128
535,celebrate,を祝う；を挙行する,2,128
536,manufacture,を製造する；をでっち上げる,2,129
537,interact,影響し合う；相互に作用する,2,129
538,arrange,の段取りをつける；を手配する；を配置する,2,129
539,adjust,を調整する；を適合させる；順応する,2,129
540,confirm,を確認する；を裏づける,2,129
541,insight,見識，理解(力)；洞察力,2,130
542,innovation,革新；新機軸,2,130
543,budget,予算；経費,2,130
544,fee,料金；謝礼,2,130
545,expense,〔～s〕経費；費用；犠牲,2,130
546,debt,借金，負債；恩義,2,131
547,loan,貸付金，融資；貸すこと,2,131
548,duty,義務；〔しばしば～s〕職務；関税,2,131
549,alarm,不安，恐れ；警報装置,2,131
550,emergency,緊急(事態),2,131
551,democracy,民主主義，民主政治；民主国家,2,132
552,minister,大臣；(プロテスタント系の)聖職者,2,132
553,fellow,仲間，同僚；同級生；男,2,132
554,candidate,(～の)候補(者)(for)；志願者,2,132
555,corporation,(大)企業；法人,2,132
556,stereotype,固定観念；決まり文句,2,133
557,route,道(筋)；路線，ルート；(～の)手段(to),2,133
558,disorder,障害，(心身の)不調；混乱,2,133
559,depression,憂うつ；うつ病；不況；低気圧,2,133
560,weapon,兵器，武器,2,133
561,immigration,(他国からの)移民，移住；入国管理,2,134
562,barrier,(～に対する)障壁(against / to)；防壁,2,134
563,disadvantage,不利(な点)；障害；(信用などの)損失,2,134
564,mood,気分；機嫌；雰囲気,2,134
565,motion,動き，動作；運動；動議,2,134
566,routine,決まり切った仕事；いつもの手順,2,135
567,discipline,規律，しつけ；訓練；懲戒；学問分野,2,135
568,myth,作り話；神話,2,135
569,hypothesis,仮説；憶測,2,135
570,physician,【主に米】 医師；内科医,2,135
571,client,顧客；(弁護士などの)依頼人,2,136
572,colony,植民地；集団居住地,2,136
573,statistics,統計；統計学,2,136
574,grain,穀物；粒；きめ,2,136
575,ingredient,材料，成分；(成功の)要因,2,136
576,treasure,宝物，財宝；財産,2,137
577,contract,契約(書)；協定,2,137
578,welfare,福祉，幸福,2,137
579,prime,主要な，最も重要な；最適な；極上の,2,137
580,curious,好奇心の強い；奇妙な,2,137
581,dramatic,劇的な；演劇の,2,138
582,distinct,明らかに異なる；明瞭な,2,138
583,anxious,心配して；切望して,2,138
584,vital,必要不可欠な；活気のある；生命にかかわる,2,138
585,conventional,従来の；月並みな,2,138
586,abstract,抽象的な,2,139
587,minor,重要でない；小さい,2,139
588,extraordinary,並はずれた；異常な，驚くべき,2,139
589,stable,安定した；動じない,2,139
590,flexible,融通の利く，柔軟な,2,139
591,brief,簡潔な；短い,2,140
592,aggressive,攻撃的な；意欲的な,2,140
593,visible,(目に)見える；明白な,2,140
594,unexpected,思いがけない，不意の,2,140
595,ethnic,民族の，人種の；民族特有の,2,140
596,alien,(～にとって)異質の(to)；外国の；宇宙人の,2,141
597,initial,初めの,2,141
598,exact,正確な；まさにその,2,141
599,precise,正確な；精密な；まさにその,2,141
600,latter,後者の，後半の,2,141
601,commit,〔＋oneselfまたは受身形で〕献身する；(罪など)を犯す；を投入する,2,142
602,stimulate,を刺激する,2,142
603,enhance,(価値など)を高める，増す,2,142
604,pursue,を追求する；に従事する,2,142
605,react,反応する；化学反応を起こす,2,142
606,disagree,不賛成である；意見が食い違う,2,143
607,stare,じっと見る；を見つめる,2,143
608,abandon,を捨てる；を放棄する，断念する,2,143
609,quit,をやめる；(場所)を去る,2,143
